Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Reference_Parameter,V_times_I,Current_sq,Voltage_sq,Current_x_Duration
TRN-0889,16.7196,93.1228,33.3421,19.9546,13.6343,15.1361,16.5062,62.9115,34.8501,1556.97596688,8671.855879839999,279.54502415999997,1858.22822488
TRN-0820,21.4477,82.523,34.4915,47.0553,15.6466,15.9849,19.3289,39.8667,30.4762,1769.9285471,6810.045528999999,460.00383529000004,3883.1445219
TRN-0411,19.2432,107.3619,29.4673,5.2763,15.108,16.6481,18.3834,44.539,46.8046,2065.9865140800002,11526.577571610002,370.3007462400001,566.47359297
TRN-0754,22.7191,69.969,26.9695,20.3051,14.9296,14.7026,18.6269,44.2673,23.7153,1589.6327079,4895.660961,516.1575048100001,1420.7275418999998
TRN-0707,13.5008,108.8999,35.5415,29.1939,12.6845,15.2455,14.6132,44.072,48.5994,1470.23576992,11859.18822001,182.27160064,3179.21279061
TRN-0140,13.4841,75.9719,25.2769,59.8003,11.3356,12.4198,13.764,49.4543,22.9154,1024.4126967900002,5771.72958961,181.82095281,4543.14241157
TRN-0881,21.5217,69.0397,30.813,17.2425,14.6484,14.5557,18.4782,54.8324,24.2957,1485.8517114899998,4766.480176089999,463.18357088999994,1190.4170272499998
TRN-0381,27.5517,31.9359,38.4775,36.8148,15.6381,13.8904,20.6009,46.5897,20.8262,879.88833603,1019.9017088100001,759.09617289,1175.71377132
TRN-0095,27.0232,98.1134,49.9673,29.2064,18.5386,19.0188,22.7145,43.2755,51.1599,2651.3380308799997,9626.23925956,730.25333824,2865.5392057599997
TRN-0135,23.8796,37.0768,27.7869,13.8211,4.7556,12.2665,17.5003,34.8471,18.4965,885.37915328,1374.6890982399998,570.23529616,512.44216048
TRN-0633,27.3166,35.2106,18.0,41.4065,15.4562,13.3195,20.1433,61.2734,18.9191,961.83387596,1239.78635236,746.19663556,1457.9477089
TRN-0138,17.7127,48.0925,30.733,23.2218,11.7089,11.4861,14.8118,65.0676,17.5449,851.8480247500001,2312.88855625,313.73974129000004,1116.7944165000001
TRN-0591,10.2728,88.373,37.5953,58.4948,10.6857,12.8873,12.4997,83.903,31.5651,907.8381544,7809.787129000001,105.53041984000001,5169.3609604
TRN-0262,30.7232,28.9017,38.9336,45.1598,17.0465,14.7144,22.609,53.4406,22.15,887.95270944,835.3082628900002,943.9150182399999,1305.19499166
