Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Validity_Label,S1_minus_S2,S1_minus_S3,S2_minus_S3
TRN-0889,16.7196,93.1228,33.3421,19.9546,13.6343,15.1361,16.5062,62.9115,Valid,-1.5018000000000011,-2.8719,-1.370099999999999
TRN-0820,21.4477,82.523,34.4915,47.0553,15.6466,15.9849,19.3289,39.8667,Valid,-0.33830000000000027,-3.6823000000000015,-3.344000000000001
TRN-0411,19.2432,107.3619,29.4673,5.2763,15.108,16.6481,18.3834,44.539,Valid,-1.540099999999999,-3.275400000000001,-1.7353000000000023
TRN-0754,22.7191,69.969,26.9695,20.3051,14.9296,14.7026,18.6269,44.2673,Valid,0.2270000000000003,-3.6972999999999985,-3.924299999999999
TRN-0707,13.5008,108.8999,35.5415,29.1939,12.6845,15.2455,14.6132,44.072,Valid,-2.561,-1.928700000000001,0.632299999999999
TRN-0140,13.4841,75.9719,25.2769,59.8003,11.3356,12.4198,13.764,49.4543,Valid,-1.084200000000001,-2.4284,-1.344199999999999
TRN-0881,21.5217,69.0397,30.813,17.2425,14.6484,14.5557,18.4782,54.8324,Valid,0.09270000000000067,-3.8298000000000005,-3.922500000000001
TRN-0381,27.5517,31.9359,38.4775,36.8148,15.6381,13.8904,20.6009,46.5897,Valid,1.7477,-4.9628,-6.7105
TRN-0095,27.0232,98.1134,49.9673,29.2064,18.5386,19.0188,22.7145,43.2755,Valid,-0.48019999999999996,-4.175900000000002,-3.695700000000002
TRN-0135,23.8796,37.0768,27.7869,13.8211,4.7556,12.2665,17.5003,34.8471,Invalid,-7.5109,-12.744699999999998,-5.233799999999999
TRN-0633,27.3166,35.2106,18.0,41.4065,15.4562,13.3195,20.1433,61.2734,Valid,2.136700000000001,-4.687099999999999,-6.8238
TRN-0138,17.7127,48.0925,30.733,23.2218,11.7089,11.4861,14.8118,65.0676,Valid,0.22279999999999944,-3.1029,-3.3256999999999994
TRN-0591,10.2728,88.373,37.5953,58.4948,10.6857,12.8873,12.4997,83.903,Valid,-2.201599999999999,-1.814,0.38759999999999906
TRN-0262,30.7232,28.9017,38.9336,45.1598,17.0465,14.7144,22.609,53.4406,Valid,2.3321000000000023,-5.5625,-7.894600000000002
TRN-0729,27.8122,59.7061,25.295,56.0876,17.8995,16.2175,22.741,53.7565,Valid,1.6819999999999986,-4.8415,-6.5234999999999985
TRN-0307,30.2039,105.7357,25.4332,14.8461,20.5299,20.3649,25.1377,39.4088,Valid,0.1650000000000027,-4.6077999999999975,-4.7728
TRN-0091,13.8779,70.3753,33.7208,28.7584,10.7783,12.0405,12.8023,60.3125,Valid,-1.2622,-2.024000000000001,-0.7618000000000009
TRN-0542,29.8252,29.6371,52.0927,40.8807,16.4051,14.7736,21.9869,50.5573,Valid,1.6315000000000008,-5.581799999999998,-7.2132999999999985
TRN-0937,18.9717,104.0403,31.8576,48.305,15.2581,16.7679,18.2016,48.5457,Valid,-1.5098000000000003,-2.9434999999999985,-1.4336999999999982
