Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,33.3213660688734,Invalid
TST-0006,18.98799428841074,Valid
TST-0047,60.97143692834163,Valid
TST-0311,26.29608432908839,Valid
TST-0264,19.17052949241508,Invalid
TST-0169,19.972513052845212,Valid
TST-0269,18.43556028868301,Valid
TST-0178,15.114465253121178,Invalid
TST-0206,33.663025339556256,Valid
TST-0038,18.061357278517825,Valid
TST-0213,14.642430343312348,Invalid
TST-0309,16.103521732192284,Valid
TST-0059,33.76007902964871,Valid
TST-0159,18.55305798901931,Valid
TST-0235,20.09460550013577,Valid
TST-0230,21.07528120743321,Valid
TST-0323,36.71386960298571,Valid
TST-0262,18.233682956491986,Valid
TST-0274,14.153973206440781,Valid
TST-0214,48.04858247348651,Valid
TST-0024,40.30891910018817,Valid
TST-0234,17.204685746756194,Valid
TST-0333,21.737391624129934,Valid
TST-0060,20.58479295018689,Valid
TST-0226,35.0809901382923,Valid
TST-0197,16.133640651623498,Valid
TST-0346,41.07855112476509,Valid
TST-0192,26.218660395509993,Valid
TST-0141,29.592005492755366,Valid
TST-0222,38.012965076274845,Invalid
TST-0232,19.158636561281156,Valid
TST-0085,23.735622728180612,Valid
TST-0237,32.33611426583721,Valid
TST-0001,38.74676913252736,Valid
TST-0069,15.848113907266722,Valid
TST-0272,23.703960342100075,Valid
TST-0343,33.42154729266529,Valid
TST-0320,27.04454452542921,Valid
TST-0008,28.25177213647484,Invalid
TST-0144,24.03052866964876,Valid
TST-0184,22.17005676570942,Valid
TST-0107,59.193718231693936,Valid
TST-0026,41.71790279299964,Valid
TST-0164,42.19331597923862,Valid
TST-0217,32.395896653380426,Valid
TST-0332,29.87862605129298,Invalid
TST-0279,24.633826204526073,Valid
TST-0243,18.853612934641074,Valid
TST-0163,20.35571184563788,Valid
TST-0131,30.326617606367904,Valid
TST-0070,16.11270406841547,Valid
TST-0137,18.831365193124697,Valid
TST-0210,29.25204883443092,Valid
TST-0288,20.610296330589797,Valid
TST-0248,19.261075455452467,Valid
TST-0277,22.45819593039879,Valid
TST-0215,21.66843597504179,Valid
TST-0138,16.213908016700795,Valid
TST-0228,17.563799565730392,Valid
TST-0252,49.27878664492622,Valid
TST-0205,29.2657674097431,Valid
TST-0348,22.91538866655979,Valid
TST-0177,22.538872736372156,Valid
TST-0267,37.37889304539251,Valid
TST-0308,22.703634356497286,Valid
TST-0087,42.23220725998982,Invalid
TST-0117,16.970958747969796,Valid
TST-0014,18.308641420928254,Valid
TST-0154,24.554695515940985,Valid
TST-0207,46.94924201635727,Valid
TST-0187,22.1219285462047,Valid
TST-0236,21.54308459612124,Valid
TST-0283,40.27484671726652,Invalid
TST-0089,17.516816412944806,Valid
TST-0202,24.00865053793792,Valid
TST-0160,18.080839586064045,Valid
TST-0036,25.866742185912894,Valid
TST-0275,47.29478807973314,Valid
TST-0023,33.90217394439756,Valid
TST-0091,43.43141979072772,Valid
TST-0151,43.883065869633626,Valid
TST-0310,22.288669047696857,Valid
TST-0239,15.067620753015904,Valid
TST-0331,32.26750144260778,Valid
TST-0316,14.033608137578664,Invalid
TST-0338,14.3034775067342,Valid
TST-0019,20.23360696530065,Valid
TST-0168,13.917897872374906,Invalid
TST-0007,18.290192149801815,Valid
TST-0211,31.50962015017188,Valid
TST-0016,36.208533594646404,Valid
TST-0027,19.510532571619866,Invalid
TST-0031,16.831114865593648,Invalid
TST-0249,28.55385001991853,Valid
TST-0011,16.53279804737456,Valid
TST-0080,23.359456343060643,Valid
TST-0121,16.526639684528664,Valid
TST-0266,19.254248747745525,Valid
TST-0198,21.40740837668228,Valid
TST-0067,30.900513840386548,Valid
TST-0102,21.1552130295194,Valid
TST-0005,37.477051667728034,Valid
TST-0003,29.897669198493613,Valid
TST-0132,44.6461935563195,Valid
TST-0029,26.35344008429348,Valid
TST-0221,31.03240823366973,Valid
TST-0099,17.344151861894275,Valid
TST-0062,17.657676977196534,Valid
TST-0095,27.32495848607687,Valid
TST-0126,17.070651168555678,Valid
TST-0034,50.48846440907509,Valid
TST-0103,16.42494898492432,Valid
TST-0245,23.29211451161676,Valid
TST-0058,50.65627357922266,Valid
TST-0065,26.6706485200185,Valid
TST-0086,19.08222832746302,Valid
TST-0342,21.519784804871037,Valid
TST-0335,17.601068604247445,Valid
TST-0180,18.24208613573935,Invalid
TST-0294,24.483021836462505,Invalid
TST-0072,20.226744036660147,Valid
TST-0315,45.9663233069627,Valid
TST-0182,43.23071676089569,Valid
TST-0200,22.098158239847436,Valid
TST-0030,16.350935712989266,Valid
TST-0193,16.62303931001334,Valid
TST-0231,21.231652238470026,Valid
TST-0128,26.162917657517145,Valid
TST-0165,28.625227624756803,Valid
TST-0074,13.808726859549534,Valid
TST-0004,34.284805503082204,Valid
TST-0157,23.271852229107672,Valid
TST-0143,27.25828830475582,Valid
TST-0179,41.03400569535216,Valid
TST-0075,27.23163953735524,Valid
TST-0233,25.33273951568957,Valid
TST-0111,26.563885188201326,Valid
TST-0350,21.214266303928856,Valid
TST-0122,17.3180722601581,Valid
TST-0076,22.051762257677844,Valid
TST-0304,26.3580343694279,Valid
TST-0190,28.699675279906685,Valid
TST-0061,16.866646975784075,Valid
TST-0009,26.536786700795453,Valid
TST-0194,44.44255302010041,Valid
TST-0156,17.36658013212958,Invalid
TST-0088,32.60533858583918,Valid
TST-0256,46.97149543936848,Valid
TST-0329,16.727925726280237,Valid
TST-0219,42.062638169013205,Valid
TST-0306,13.894472549159657,Valid
TST-0324,22.427286414413146,Valid
TST-0113,21.90254817018578,Valid
TST-0135,15.498211128829164,Valid
TST-0339,17.146108286854638,Valid
TST-0260,22.594060170935823,Valid
TST-0195,26.241876522394026,Valid
TST-0286,27.813986249334093,Valid
TST-0015,25.386946731076584,Valid
TST-0263,19.433919049708724,Valid
TST-0147,25.016586103474328,Valid
TST-0002,24.39915060255493,Invalid
TST-0114,46.45791300782364,Valid
TST-0271,27.656954632435788,Invalid
TST-0223,22.065105819911718,Valid
TST-0344,15.919608733637984,Valid
TST-0183,31.0393369851748,Valid
TST-0327,34.09759097781293,Valid
TST-0250,19.643626099124262,Invalid
TST-0185,38.51742464665385,Valid
TST-0242,21.090471249151154,Valid
TST-0158,12.83295828772747,Valid
TST-0078,44.13275687896656,Valid
TST-0120,22.239139058916336,Invalid
TST-0093,30.442745910883858,Valid
TST-0051,15.714222969424567,Valid
TST-0010,15.461274301420444,Valid
TST-0013,44.392879290824894,Valid
TST-0049,14.598870978719326,Valid
TST-0041,17.071661886859196,Valid
TST-0055,31.636212370895215,Valid
TST-0012,20.26817848771867,Valid
TST-0127,48.839951097278195,Valid
TST-0225,26.66139279169058,Valid
TST-0050,23.696441779310796,Valid
TST-0172,39.25440309666325,Invalid
TST-0079,32.47226329520633,Valid
TST-0046,22.22814974606406,Valid
TST-0325,18.133234301664096,Valid
TST-0280,21.43180389039131,Valid
TST-0140,15.408441089719648,Valid
TST-0244,45.9663233069627,Valid
TST-0203,21.051142838197002,Valid
TST-0238,18.62953504893487,Valid
TST-0092,29.343190090377412,Valid
TST-0307,13.606805114614355,Valid
TST-0176,28.61157405237923,Valid
TST-0115,16.653336164375318,Invalid
TST-0028,18.946287825866637,Invalid
TST-0317,19.475221361958,Valid
TST-0251,38.248371097020325,Valid
TST-0301,15.192014205297168,Valid
TST-0116,36.91301859072712,Valid
TST-0056,24.80951592134956,Valid
TST-0166,27.052492978113566,Valid
TST-0247,32.75491256920168,Valid
TST-0291,27.729555936919603,Valid
TST-0167,29.103961932568705,Invalid
TST-0313,48.47221083690266,Valid
TST-0105,13.851823241624013,Valid
TST-0104,20.412572271776238,Valid
TST-0045,34.52781883853004,Valid
TST-0289,44.142541944282,Valid
TST-0048,27.017654225800463,Valid
TST-0110,18.89763359734625,Valid
TST-0037,42.82921771576392,Invalid
TST-0305,18.388476325134253,Valid
TST-0240,32.589239933423436,Valid
TST-0155,32.7714844698267,Valid
TST-0119,53.275920664419374,Valid
TST-0295,23.290360018764773,Valid
TST-0229,18.67320137766169,Valid
TST-0106,21.578356912863672,Valid
TST-0052,15.948817758117837,Valid
TST-0276,21.627267878733623,Invalid
TST-0216,21.425012363083823,Valid
TST-0208,20.941353474683364,Valid
TST-0188,21.54615079736121,Valid
TST-0145,49.55626968263811,Valid
TST-0039,21.71502297435492,Valid
TST-0173,18.693200308048393,Valid
TST-0082,20.022850449468276,Valid
TST-0296,36.00846096308591,Valid
TST-0297,33.46579161474384,Valid
TST-0125,17.61494565147452,Valid
TST-0199,22.167782939741475,Invalid
TST-0330,21.14973272264175,Valid
TST-0133,36.17319263271894,Valid
TST-0175,31.955156651515093,Valid
TST-0270,45.616811270906176,Valid
TST-0255,17.426973793095303,Valid
TST-0025,13.718120484185318,Valid
TST-0073,13.801558908859333,Valid
TST-0077,20.650852488062995,Valid
TST-0293,14.937514736331522,Valid
TST-0212,33.27941966623222,Invalid
TST-0081,13.975828776989758,Valid
